decisionTree keys: causes,questions
diagnostic_flow length: 1
fastAnswer: Check the thermostat settings.
[2026-03-25T03:04:01.823Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T03:04:58.585Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T03:05:54.848Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T03:06:40.969Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[2026-03-25T10:32:18.064Z] RENDERING SLUG: heat-pump-not-heating | schema_version: null | page_type: symptom

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[2026-03-25T10:32:18.116Z] RENDERING SLUG: heat-pump-not-heating | schema_version: null | page_type: symptom

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T10:45:36.464Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T10:45:37.236Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | condition | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | system | ROWS: 0

[2026-03-25T10:46:59.261Z] RENDERING SLUG: ac-not-cooling | schema_version: undefined | page_type: undefined

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB FETCH SUCCESS] favicon.ico | hybrid | ROWS: 0

[DB FETCH SUCCESS] favicon.ico | hybrid | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[2026-03-25T10:54:34.635Z] RENDERING SLUG: heat-pump-not-heating | schema_version: null | page_type: symptom

[DB FETCH SUCCESS] favicon.ico | hybrid | ROWS: 0

[DB FETCH SUCCESS] favicon.ico | hybrid | ROWS: 0

[DB CONNECTION] Connecting to: postgresql://neondb_owner:***@ep-solitary-darkness-anw3z5fo-pooler.c-6.us-east-1.aws.neon.tech/neondb?sslmode=require&channel_binding=require

[DB FETCH SUCCESS] heat-pump-not-heating | diagnose | ROWS: 0

[DB FETCH SUCCESS] ac-not-cooling | diagnose | ROWS: 0

[DB FETCH SUCCESS] heat-pump-not-heating | symptom | ROWS: 1

[DB FETCH SUCCESS] ac-not-cooling | symptom | ROWS: 0

